01-Jan-13,5003
01-Feb-13,5216
01-Mar-13,4751
01-Apr-13,1586
01-May-13,824
01-Jun-13,497
01-Jul-13,440
01-Aug-13,487
01-Sep-13,472
01-Oct-13,815
01-Nov-13,3651
01-Dec-13,4901
01-Jan-14,8096
01-Feb-14,4995
01-Mar-14,4487
01-Apr-14,1580
01-May-14,676
01-Jun-14,472
01-Jul-14,453
01-Aug-14,476
01-Sep-14,490
01-Oct-14,836
01-Nov-14,4224
01-Dec-14,5119
01-Jan-15,6930
01-Feb-15,7065
01-Mar-15,3183
01-Apr-15,1066
01-May-15,687
01-Jun-15,496
01-Jul-15,502
01-Aug-15,513
01-Sep-15,549
01-Oct-15,1032
01-Nov-15,2374
01-Dec-15,3019
01-Jan-16,6899
01-Feb-16,5713
01-Mar-16,2293
01-Apr-16,1408
01-May-16,723
01-Jun-16,502
01-Jul-16,450
01-Aug-16,487
01-Sep-16,504
01-Oct-16,733
01-Nov-16,2633
01-Dec-16,5410
